"Product","Product Description","Product Type","Product Category"
AL BEAM-711274896,AL BEAM,Production,AL BEAM
AL BEAM-711299192,AL BEAM,Production,AL BEAM
Cylinder-33191710,"100 CL",Production,Cylinder
Cylinder-33186530,"180 CL",Production,Cylinder
Cover-33410630,"210 F COVER",Production,Cover
Cross Head-33235230,CROSS HEAD,Production,Cross Head
Cross Head-33235120,CROSS HEAD,Production,Cross Head
Cover-33410990,"120 F COVER",Production,Cover
FLYWHEEL-33002266,FLYWHEL 920X155,Production,FLYWHEEL
Guide-33279050,CROSS GUIDE,Production,Guide
Cover-33410390,"320 R COVER",Production,Cover
FLYWHEEL-33006379,"840 FLYWHEL",Production,FLYWHEEL
Piston Rod-33995640,PISTON ROD,Production,Piston Rod
Cylinder-33186510,"210 CL",Production,Cylinder
Cylinder-33186180,"160 CL",Production,Cylinder
FLYWHEEL-33979950,"850X275 FLYWHEL",Production,FLYWHEEL
FLYWHEEL-33001540,"850X275 FLYWHEL",Production,FLYWHEEL
Cylinder Assembly-61901010309,"130 HN CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901008516,"145 HN CL ASSLY",Assembly,Cylinder Assembly
Cranck Case-047768901001,C CASE 15TRL,Production,Cranck Case
Body-12GHV070903P0001,FLANGE BODY,Production,Body
Cylinder Assembly-61901060521CRP,"250 HX CL ASSLY",Assembly,Cylinder Assembly
Ring-61901011694,RING MOUNT TOOL,Production,Ring
Ring-61901011732,RING MOUNT TOOL,Production,Ring
Ring-61901020296,RING MOUNT TOOL,Production,Ring
Distance Piece-61901037375,DISTANCE PIECE,Production,Distance Piece
Bottom-61901043487,BOTTOM,Production,Bottom
Cylinder-0CC1025854,THRD STAGE CL,Production,Cylinder
Inner Cylinder-21281082,INNER CL H6,Production,Inner Cylinder
Inner Cylinder-21281067,INNER CL H6,Production,Inner Cylinder
Distributer-21281104,INNER CL H8,Production,Distributer
Distributer-21281105,INNER CL H8,Production,Distributer
Inner Cylinder-21281137,INNER CL H5,Production,Inner Cylinder
Distributer-21281068,AIR DSTR H6,Production,Distributer
Lower-952561280A,EF9K GB LOWER,Labour,Lower
Upper-952561282A,EF9K GB UPPER,Labour,Upper
Cylinder-C9119829,L CL,Production,Cylinder
Cylinder-1901060542,"160 HX CL",Production,Cylinder
Inner Head-1903057702,"220 IH L",Assembly,Inner Head
Cross Head-1904091500,CYX 6451,Production,Cross Head
Cross Head-1904091501,CYX 6452,Production,Cross Head
Cross Head-1904091500 LNK,CYX 6451,Production,Cross Head
Cylinder-1901060564,"185 HX CL",Production,Cylinder
Back Head-3303005015,"1210 BH",Production,Back Head
Cylinder-1903039102,"220 LO CL",Production,Cylinder
Spacer-1830088796,SPACER,Production,Spacer
Inner Head-1901060985,"280 IH E",Production,Inner Head
Inner Head-1830036255,"230 IH",Production,Inner Head
Cylinder-1901074443,"75 CL",Production,Cylinder
Cylinder-1901067838,"160 HP CL",Production,Cylinder
Inner Head-1830067329,"190 DNX IH",Production,Inner Head
Cylinder-1830072924,"370 HN CL",Production,Cylinder
Spacer-1830086455,SPACER,Production,Spacer
Cylinder-1903039002,"75 PT CL",Production,Cylinder
Cylinder-1830052755,"200 CL",Production,Cylinder
Inner Head-1830042620,"200 IH",Production,Inner Head
Cylinder-1830052753,"230 CL",Production,Cylinder
Inner Head-1903057602,"370 IH L",Production,Inner Head
Cylinder-1901065354,"185 EX CL",Production,Cylinder
Cylinder Assembly-1903920395,"160 V CL ASSLY",Assembly,Cylinder Assembly
Inner Head-1901065894,"320 IH E",Production,Inner Head
Inner Head-1901074285,"320 IH E",Production,Inner Head
Cylinder Assembly-1903902995,"160 HP CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901060136,"130 HN CL ASSLY",Assembly,Cylinder Assembly
Cross Head-1904091501 LNK,CYX 6451,Production,Cross Head
